order,RegNo,order,genus database,species database,latitude,longitude,sex dissect,predicted sex/reason,confidence,svl,SVL2,tail length,tail length2,ratio,tail shape,midbody diameter,midbody diameter2,midtail diameter,midtail diameter2,head width,head width2,head depth,head depth2,ant nostril to ant eyes,ant nostril to ant eyes2,distance between eyes (closest),distance between eyes (closest)2,distance from forehead between eyes to snout,distance from forehead between eyes to snout2,lower lip to snout,lower lip to snout2,mouth width,mouth width2,tip of mouth to head depth,tip of mouth to head depth2,X-RAY?,Xray Done,precloacal_vert,postcloacal_vert,X-RAY skull length,Notes,sex database,jar note,database svl,remeasure?,tissue,age,age literature,plainNumber,photograph
38,j20315,38,Anilios,broomi,-16.68333333,145.3333333,male,hemipenes n testes,yes,189.0,189.00,5.0,5.00,0.026,pointy,3.75,3.77,2.26,2.34,1.88,1.93,1.52,1.51,1.22,1.27,1.71,1.79,1.73,1.72,0.81,0.98,1.39,1.44,1.12,1.33,y,y,,,4.38,,,1,,,,,,,Yes
39,j47254,39,Anilios,broomi,-15.46666667,145.25,female,tail?,tail,148.0,149.00,3.0,3.00,0.020,pointy,2.63,2.63,1.68,1.88,2.01,2.03,1.18,1.26,0.86,0.89,1.55,1.50,1.35,1.45,0.70,0.68,1.05,1.01,0.89,1.02,y,y,,,3.89,,,1,,,,,,,Yes
40,j46849,40,Anilios,broomi,-15.46666667,145.25,male,hemipenes,yes,118.0,119.00,4.0,4.00,0.034,pointy,1.92,2.05,1.76,1.66,1.59,1.69,1.21,1.27,1.01,0.93,1.46,1.53,1.43,1.25,0.60,0.60,0.95,0.94,0.93,0.94,y,y,,,4.54,,,1,,,,,,,Yes
41,j39843,41,Anilios,torresianus,-12.5,141.6666667,female,eggs,yes,326.0,328.00,9.0,9.00,0.028,pointy,9.62,9.52,5.50,5.75,5.05,5.04,3.53,3.71,2.28,2.62,3.64,4.00,3.24,3.05,1.83,1.77,2.72,2.82,2.52,2.62,y,y,191,15,9.21,,,1,,,,,,,Yes
42,j30838,42,Anilios,torresianus,-17.43333333,145.4833333,male,hemipenes,yes,417.0,419.00,22.0,22.00,0.053,pointy,9.15,9.66,7.26,7.20,7.35,7.49,4.76,4.61,3.20,3.29,5.46,5.39,4.82,4.55,2.57,2.64,4.49,4.45,3.48,3.52,y,y,182,20,8.87,,,1,,,,,,,Yes
43,j5700,43,Anilios,torresianus,-16.75,145.6166667,male,testes,yes,372.0,372.00,23.0,23.00,0.062,pointy,8.34,8.29,7.29,7.15,6.48,6.45,4.39,4.60,3.10,3.22,4.95,5.02,4.42,4.82,2.22,2.12,3.96,3.76,3.11,2.94,y,y,193,22,9.55,,,1,,,,,,,Yes
44,j10885,44,Anilios,torresianus,-17.26666667,145.4833333,male,"testes, juvenile",yes,189.0,192.00,5.0,5.00,0.026,pointy,5.15,5.19,3.84,4.10,3.97,3.85,2.76,2.55,2.09,2.23,2.75,2.90,2.60,2.71,1.51,1.43,2.00,2.00,1.76,1.87,y,y,,,6.57,,,1,,,,,,,Yes
45,j25566,45,Anilios,torresianus,-17.08333333,145.5833333,female,"no testes, juvenile",yes,143.0,144.00,4.5,4.50,0.031,pointy,4.09,4.02,3.16,3.12,3.55,3.30,2.20,2.23,1.51,1.68,2.66,2.79,2.49,2.45,1.36,1.22,1.86,1.73,1.61,1.64,y,y,,,6.44,,,1,,,,,,,Yes
46,j48213,46,Anilios,torresianus,-17.82361111,145.7847222,male,testes,yes,314.0,314.00,17.0,17.00,0.054,pointy,7.73,7.74,5.59,5.41,5.10,5.07,3.23,3.44,2.49,2.58,3.42,3.73,3.19,3.53,1.78,1.84,2.38,2.50,2.60,2.68,y,y,,,9.07,,,2,,,,,,,Yes
47,j48248,47,Anilios,torresianus,-17.79027778,145.7819444,female,eggs/follicle,yes,251.0,250.00,7.0,7.00,0.028,pointy,6.00,6.05,4.13,4.23,4.30,4.40,2.84,2.70,2.19,2.07,3.26,3.05,2.74,2.98,1.39,1.60,2.36,2.45,1.98,1.99,y,y,,,7.37,,,2,,,,,,,Yes
48,j47248,48,Anilios,torresianus,-16.91666667,145.7666667,female,eggs,yes,340.0,345.00,20.0,20.00,0.059,pointy,7.46,7.12,6.50,6.98,5.40,5.41,4.03,3.96,2.95,2.84,3.94,3.95,3.95,3.51,2.07,2.03,3.12,3.05,2.87,2.77,y,y,,,9.28,,,2,,,,,,,Yes
49,j50852,49,Anilios,torresianus,-21.16666667,148.5,female,eggs/follicle,yes,335.0,337.00,10.0,11.00,0.030,pointy,7.62,7.65,5.25,5.48,5.49,5.55,3.96,4.00,2.65,2.68,3.94,3.99,3.60,3.73,2.08,2.01,3.72,3.92,2.73,2.86,y,y,,,9.20,,,2,,,,,,,Yes
50,j54031,50,Anilios,torresianus,-11.75,142.5833333,male,testes,yes,286.0,289.00,15.0,15.00,0.052,pointy,7.56,7.47,5.03,5.34,4.80,4.97,3.02,3.06,2.51,2.53,3.60,3.67,3.09,3.20,1.73,1.77,2.77,2.46,2.17,2.16,y,y,,,7.43,,,2,,,,,,,Yes
51,j54041,51,Anilios,torresianus,-11.65,142.6166667,female,eggs/follicle,yes,341.0,340.00,10.0,10.00,0.029,pointy,8.98,9.35,5.43,5.44,6.09,6.00,3.76,3.60,2.95,3.03,4.41,3.95,4.12,4.09,1.96,1.96,2.89,2.99,2.61,2.76,y,y,,,9.19,,,2,,,,,,,Yes
52,j80559,52,Anilios,torresianus,-17.6090294,145.5599823,NA,NA,,640.0,,19.0,,0.030,pointy,15.41,,9.16,,8.33,,5.62,,4.10,,6.15,,5.53,,2.47,,,,4.07,,y,y,205,17,13.66,large specimen but poor condition - just taking svl and not photographing,,4,,,,,,,Yes
53,j79900,53,Anilios,torresianus,-19.63179218,147.0510871,male,testes,yes,330.0,329.00,20.0,19.00,0.061,pointy,8.78,8.96,6.79,6.66,6.18,6.16,4.90,4.83,3.13,3.03,4.29,4.56,3.76,3.62,2.16,2.30,4.01,4.21,3.06,3.28,y,y,187,22,9.64,,,4,,,,,,,Yes
54,j79868,54,Anilios,torresianus,-19.265128,146.8177544,male,"absence of eggs, potential teste",yes,321.0,322.00,18.0,18.00,0.056,pointy,7.85,7.88,5.71,5.37,5.59,5.58,3.81,3.66,3.02,3.00,3.92,3.60,3.91,3.86,2.03,2.11,2.43,2.68,2.83,2.72,y,y,186,22,9.16,,,4,,,,,,,Yes
55,j79947,55,Anilios,torresianus,-22.31777778,148.5097222,female,potential follicle/developing eggs,yes,396.0,395.00,13.0,13.00,0.033,pointy,9.98,9.45,6.04,5.79,6.54,6.25,4.28,4.34,3.18,3.27,4.43,4.58,4.45,4.09,2.39,2.40,3.27,3.48,3.06,3.14,y,y,206,17,10.46,,,4,,,,,,,Yes
56,j80562,56,Anilios,torresianus,-17.58180863,145.3010963,female,potential follicle/developing eggs,yes,490.0,487.00,12.0,12.00,0.024,pointy,11.76,11.19,7.67,7.57,7.90,7.92,4.50,4.37,3.57,3.69,5.55,5.54,4.91,4.75,2.66,2.54,3.16,3.02,3.63,3.76,y,y,205,13,12.56,,,4,,,,,,,Yes
57,j60625,57,Anilios,torresianus,-15.26666667,145.3333333,female,lack of testes,yes,387.0,385.00,19.0,19.00,0.049,pointy,8.97,8.54,6.71,6.54,6.39,6.44,4.28,4.23,3.09,3.30,4.61,4.72,3.95,3.89,2.22,2.03,3.58,3.66,3.08,2.98,y,y,190,22,10.34,,,3,,,,,,,Yes
58,j81278,58,Anilios,torresianus,-17.20625,145.6806944,female,eggs,yes,470.0,478.00,14.0,14.00,0.030,pointy,11.45,11.76,8.74,8.96,7.84,7.73,5.39,5.44,3.93,3.89,5.51,5.39,5.26,5.31,2.94,2.83,3.38,3.49,3.74,3.80,y,y,199,16,12.68,,,5,,,,,,,Yes
59,j85794,59,Anilios,torresianus,-17.70301861,145.526895,female,eggs,yes,543.0,544.00,16.0,16.00,0.029,pointy,15.12,14.64,8.90,8.58,8.88,9.03,6.41,6.50,4.41,4.32,5.75,5.98,4.12,4.27,3.14,2.93,,,4.17,4.08,y,y,195,15,12.77,mouth distorted - stuff coming out,,5,,,,,,,Yes
60,j87053,60,Anilios,torresianus,-15.79291853,145.2333218,male,absence of eggs,yes,350.0,350.00,20.0,19.00,0.057,pointy,8.07,8.25,6.59,6.27,5.43,5.53,3.42,3.37,2.68,2.88,4.31,3.96,3.40,3.23,1.88,2.09,2.61,2.53,2.69,2.53,y,y,192,20,9.35,,,5,,,,,,,Yes
