 ,Label,Area,Mean,Min,Max,Angle,Length
156,ani_lig_R00050.dcm,0.049,5406.932,4628.417,6215.917,-146.853,0.939
157,ani_lig_R00050.dcm,0.039,6284.527,5320.819,7133.609,-135.000,0.772
158,ani_lig_R00050.dcm,0.044,6693.491,5562.062,7730.093,-131.285,0.876
159,ani_lig_R00050.dcm,0.044,6727.344,6066.176,7585.599,-136.469,0.886
160,ani_lig_R00050.dcm,0.035,7262.967,6325.750,8092.857,-132.089,0.670
161,ani_lig_R00050.dcm,0.032,7177.532,6417.120,8349.346,-111.251,0.620
162,ani_lig_R00050.dcm,0.023,7569.210,6959.362,8626.250,-112.620,0.417
163,ani_lig_R00050.dcm,0.035,6865.563,6164.651,8378.139,-119.055,0.661
164,ani_lig_R00921.dcm,0.043,3852.870,3074.025,4619.852,178.363,0.836
165,ani_lig_R00921.dcm,0.046,4136.613,3096.688,5183.079,-179.246,0.907
166,ani_lig_R00921.dcm,0.052,4112.116,3481.864,4712.585,-178.047,1.051
167,ani_lig_R00921.dcm,0.055,4030.486,3273.402,4745.698,-177.510,1.099
168,ani_lig_R00921.dcm,0.059,4022.251,2821.465,4892.690,178.854,1.193
169,ani_lig_R00921.dcm,0.059,4196.617,2698.298,5066.994,-178.247,1.170
170,ani_lig_R00921.dcm,0.062,3850.279,2912.500,4559.346,-175.054,1.246
171,ani_lig_R00921.dcm,0.066,3809.476,2682.237,5023.595,-163.843,1.329
172,ani_lig_R00921.dcm,0.064,3744.823,2862.126,4353.119,-159.193,1.276
173,ani_lig_R00921.dcm,0.062,3725.364,3189.293,4523.432,-155.647,1.244
174,ani_lig_R00921.dcm,0.064,4132.914,2601.000,6301.167,-152.959,1.286
175,ani_lig_R00921.dcm,0.068,4240.662,2194.000,5701.132,-159.677,1.374
176,ani_lig_R00921.dcm,0.068,4042.501,2124.500,5539.726,-157.647,1.380
177,ani_lig_R00921.dcm,0.073,3715.253,1935.000,5106.600,-156.501,1.496
178,ani_lig_R00921.dcm,0.073,3849.973,2096.475,5324.151,-153.435,1.494
179,ani_lig_R00921.dcm,0.075,3913.669,2169.144,5369.695,-149.265,1.541
180,ani_lig_R00921.dcm,0.073,3844.463,2423.844,5440.687,-146.437,1.489
181,ani_lig_R00921.dcm,0.080,3724.258,2706.292,5032.881,-142.535,1.609
182,ani_lig_R00921.dcm,0.073,3653.839,2654.442,4885.626,-135.993,1.460
183,ani_lig_R00921.dcm,0.077,3428.442,2690.669,4051.058,-133.468,1.578
184,ani_lig_R00921.dcm,0.073,3352.250,2596.436,3967.260,-130.347,1.456
185,ani_lig_R00921.dcm,0.080,3499.193,2329.750,5076.584,-126.703,1.637
186,ani_lig_R00921.dcm,0.082,3713.992,2165.854,4974.898,-125.395,1.669
187,ani_lig_R00921.dcm,0.080,3776.017,1993.324,5162.692,-126.277,1.613
188,ani_lig_R00921.dcm,0.071,3944.938,1656.500,5554.860,-119.148,1.421
189,ani_lig_R00921.dcm,0.068,3932.369,2277.844,4872.601,-116.342,1.371
190,ani_lig_R00921.dcm,0.066,3871.284,2451.750,4945.696,-108.595,1.347
191,ani_lig_R00921.dcm,0.075,3987.715,2955.651,5069.562,-103.062,1.531
