"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R120049","Anilios","longissimus",-20.9,115.367,"point","f","WAM","120049","WAM_R120049",0.015,266,4,-5.11976229254956,-5.14524137785054,-5.18472018882433,-5.68885682443953,-5.42649255997203,-4.19720194766181
"R29623","Anilios","leptosoma",-27.55,114.47,"point","m","WAM","29623","WAM_R29623",0.04,246,9,-4.56923817676203,-4.90649503484366,-5.00455624801987,-5.51538187178586,-5.18324803676325,-3.30810695859614
"R146400","Anilios","obtusifrons",-27.922,114.163,"point","f","WAM","146400","WAM_R146400",0.025,197,5,-4.39120568943288,-4.59005654817804,-4.74671035822342,-5.20624268760186,-4.91164017230551,-3.67376581630389
"R89435","Anilios","obtusifrons",-27.85,114.1,"point","m","WAM","89435","WAM_R89435",0.05,216,10,-4.7930627878315,-5.06046766784413,-4.78749174278205,-5.35547578038799,-5.08260879372135,-3.07269331469012
"R129778","Anilios","obtusifrons",-27.898,114.167,"point","f","WAM","129778","WAM_R129778",0.021,195,4,-4.49827239101138,-4.76017593213508,-4.68521289366163,-5.21473065043977,-4.98782061633008,-3.88670519744386
"R114892","Anilios","systenos",-28.77,114.62,"point","m","WAM","114892","WAM_R114892",0.04,256,10,-4.6572861871271,-4.68228748933252,-4.9798636354295,-5.47751879600575,-5.15991504368892,-3.24259235148552
"R113398","Anilios","systenos",,,"point","m","WAM","113398","WAM_R113398",0.039,204,8,-4.45101950616083,-4.50275518056002,-4.81734470593173,-5.26932982967478,-5.09497644253001,-3.23867845216438
"R114893","Anilios","systenos",-28.77,114.62,"point","m","WAM","114893","WAM_R114893",0.04,195,8,-4.60005508532132,-4.80926554233161,-4.82192393920353,-5.34557025139858,-5.09067800176979,-3.19355801688391
"R1734","Anilios","systenos",-28.717,114.817,"point","f","WAM","1734","WAM_R1734",0.02,244,5,-4.43245748830077,-4.83964822237641,-4.80402104473326,-5.26605650432982,-5.00858821047453,-3.8877303128591
"R171667","Anilios","zonula",-15.95,124.56,"point","f","WAM","171667","WAM_R171667",0.03,180,5,-4.15621996594019,-4.24516745195668,-4.54063166485052,-5.23377884541047,-4.90777790865655,-3.58351893845611
"R106250","Anilios","zonula",-15.27,124.558,"point","f","WAM","106250","WAM_R106250",0.019,154,3,-4.36912322983797,-4.64491051463761,-4.56071842341726,-5.24767363372928,-5.03695260241363,-3.93834031374552
