"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R21665","Anilios","nema",-12.43,130.83,"pointy","m","MAGNT","21665","MAGNT_R21665",0.01,267.5,3,3.37,2.225,2.45,1.75,1.425,1.8,1.815,0.865,1.13,1.55,4.467,328,10,"yes",270.5
"R14324","Anilios","fossor",-23.467,134.967,"pointy","f","MAGNT","14324","MAGNT_R14324",0.021,242,5,4.75,3.18,2.39,1.865,1.465,1.805,2.095,1.05,1.39,1.495,5.149,250,12,"yes",247
"R34490","Anilios","centralis",-23.7,133.87,"pointy","m","MAGNT","34490","MAGNT_R34490",0.04,257.5,10,5.295,4.415,3.665,3.055,1.795,2.78,3.13,1.545,2.235,2.135,5.25,217,15,"yes",267.5
"R34491","Anilios","centralis",-23.8,133.733,"pointy","m","MAGNT","34491","MAGNT_R34491",0.029,295.5,8.5,4.81,4.07,3.555,2.585,2.14,2.725,3.09,1.65,1.57,2.025,5.1,215,15,"tail",304
"R34494","Anilios","centralis",-23.7,133.88,"pointy","f","MAGNT","34494","MAGNT_R34494",0.02,208,5,4.305,3.59,2.84,2.625,1.545,2.265,2.885,1.37,1.59,1.78,5.43,208,18,"tail",213
"R34492","Anilios","centralis",-23.767,133.883,"pointy","f","MAGNT","34492","MAGNT_R34492",0.018,284,5,4.055,3.165,3.22,2.58,1.825,2.285,2.925,1.39,1.635,2.03,5.719,243,13,"tail",289
"R34493","Anilios","centralis",-23.7,133.88,"pointy","m","MAGNT","34493","MAGNT_R34493",0.03,159,5,2.795,2.795,2.505,1.81,1.315,1.87,2.11,1.01,1.165,1.66,4.595,208,14,"tail",164
"R16047","Anilios","nema",-12.4,130.9,"pointy","m","MAGNT","16047","MAGNT_R16047",0.025,182.5,4.5,2.45,1.76,1.82,1.195,1.04,1.34,1.54,0.67,0.82,1.025,3.595,299,25,"yes",187
"R34110","Anilios","nema",-12.42,130.88,"pointy","f","MAGNT","34110","MAGNT_R34110",0.02,127.5,3,1.84,1.43,1.7,1.34,0.965,1.37,1.195,0.835,0.66,0.96,6.135,319,17,"tail",130.5
"R27556","Anilios","nema",-12.394,130.877,"pointy","f","MAGNT","27556","MAGNT_R27556",0.016,250,4,2.7,2.145,2.345,1.63,1.5,1.57,1.82,0.88,1,1.375,4.497,319,13,"tail",254
"R27696","Anilios","nema",-13.03,131,"pointy","m","MAGNT","27696","MAGNT_R27696",0.05,211,11,2.595,2.33,1.945,1.355,1.215,1.35,1.385,0.965,0.755,1.13,3.879,322,17,"yes",222
"R07521","Anilios","minimus",-13.883,136.767,"pointy","f","MAGNT","7521","MAGNT_R07521",0.023,175,4,2.305,1.81,1.965,1.355,1.195,1.425,1.605,0.765,0.875,1.125,4.482,208,12,"tail",179
"R09874","Anilios","minimus",-13.97,136.43,"pointy","m","MAGNT","9874","MAGNT_R09874",0.02,211,4.5,2.905,2.295,2.095,1.465,1.23,1.705,1.635,0.755,1.16,1.32,4.313,255,10,"yes",215.5
"R13936","Anilios","yirrikalae",-13.417,132.1,"pointy","f","MAGNT","13936","MAGNT_R13936",0.029,156,4.5,3.75,2.895,2.65,2.095,1.625,1.72,2.6,1.085,1.575,1.55,5.921,206,17,"yes",160.5
"R16855","Anilios","yirrikalae",-12.43,130.93,"pointy","m","MAGNT","16855","MAGNT_R16855",0.03,189.5,6,3.325,2.925,3.04,2.27,1.585,2.305,2.745,1.395,1.685,1.765,6.106,248,13,"yes",195.5
"R14447","Anilios","yirrikalae",-17.317,137.067,"pointy","f","MAGNT","14447","MAGNT_R14447",0.018,192.5,3.5,4.42,2.86,2.875,2.215,1.89,2.25,2.59,1.225,1.61,1.695,6.087,201,15,"yes",196
"R36151","Anilios","tovelli",-11.34,132.59,"pointy","f","MAGNT","36151","MAGNT_R36151",0.03,153,4.5,3.595,2.385,2.495,1.815,1.19,1.86,1.79,0.96,1.35,1.225,4.914,155,13,"tail",157.5
"R03422","Anilios","tovelli",-12.45,131.05,"pointy","m","MAGNT","3422","MAGNT_R03422",0.039,152,6,4.1,2.995,2.515,1.885,1.185,1.875,1.735,0.86,1.515,1.305,4.752,136,14,"tail",158
"R08365","Anilios","tovelli",-12.45,131.05,"pointy","f","MAGNT","8365","MAGNT_R08365",0.03,101,3.5,2.935,1.815,2.045,1.405,1.1,1.415,1.435,0.715,1.085,0.995,4.093,142,12,"tail",104.5
"R08718","Anilios","tovelli",-12.45,131.05,"pointy","m","MAGNT","8718","MAGNT_R08718",0.043,115,5,3.245,2.5,2.165,1.36,1.01,1.505,1.515,0.81,1,1.185,4.717,143,17,"yes",120
"R12045","Anilios","tovelli",-12.56,131.31,"pointy","f","MAGNT","12045","MAGNT_R12045",0.03,163.5,4.5,3.635,2.295,2.925,1.79,1.465,2,2,1.125,1.475,1.585,5.478,140,12,"tail",168
"R03279","Anilios","tovelli",-12.7,130.967,"pointy","m","MAGNT","3279","MAGNT_R03279",0.032,124,4,3.115,1.765,2.43,1.57,1.25,1.67,1.575,0.785,1.225,1.19,4.258,136,16,"tail",128
"R36155","Anilios","tovelli",-12.18,136.11,"pointy","m","MAGNT","36155","MAGNT_R36155",0.04,114.5,5,2.925,2.155,2.345,1.3,1.05,1.46,1.445,0.85,1.105,1.14,4.283,136,14,"yes",119.5
"R04012","Anilios","tovelli",-12.7,130.967,"pointy","f","MAGNT","4012","MAGNT_R04012",0.037,108,4,3.135,2.425,2.355,1.54,1.105,1.405,1.69,0.835,1.005,1.11,4.405,135,11,"tail",112
"R36153","Anilios","tovelli",-11.29,132.22,"pointy","?","MAGNT","36153","MAGNT_R36153",0.04,121,4.5,3.08,2.42,2.495,1.6,1.325,1.675,1.575,0.825,1.245,1.29,5.031,139,14,,125.5
"R03301","Anilios","tovelli",-12.55,131.05,"pointy","f","MAGNT","3301","MAGNT_R03301",0.026,95,2.5,2.79,1.41,2.015,1.2,1.035,1.2,1.26,0.775,0.835,0.885,3.716,139,12,"yes",97.5
"R12044","Anilios","tovelli",-12.56,131.31,"pointy","m","MAGNT","12044","MAGNT_R12044",0.03,128.5,4,3.53,2.085,2.745,1.63,1.075,1.76,1.66,0.87,1.225,1.205,4.471,142,15,"tail",132.5
"R34084","Anilios","endoterus",-25.35,131.033,"pointy","m","MAGNT","34084","MAGNT_R34084",0.04,198.5,8,3.885,2.985,2.905,2.19,1.455,1.865,2.47,1.435,1.535,1.455,4.895,201,20,"yes",206.5
"R34092","Anilios","endoterus",-23.95,133.93,"pointy","f","MAGNT","34092","MAGNT_R34092",0.02,284,7,5.2,3.64,4.17,3.07,2.045,2.86,3.415,1.76,2.3,2.185,6.997,213,13,"tail",291
"R34091","Anilios","endoterus",-24.75,136,"pointy","m","MAGNT","34091","MAGNT_R34091",0.033,276,9,5.55,3.79,3.505,2.85,2.315,2.56,3.095,1.54,2.13,1.82,6.321,206,16,"yes",285
"R34040","Anilios","endoterus",-25.3,130.72,"pointy","f","MAGNT","34040","MAGNT_R34040",0.03,277,7,5.465,4.28,4.08,3.24,2.03,2.87,3.165,1.945,2.345,2.1,6.782,211,16,"tail",284
"R34085","Anilios","endoterus",-25.35,131.033,"pointy","m","MAGNT","34085","MAGNT_R34085",0.035,185.75,6.5,2.935,2.42,2.65,1.565,1.21,1.71,2.04,1.13,1.135,1.185,4.973,201,18,"tail",192.25
"R34083","Anilios","endoterus",-24.88,134.25,"pointy","f","MAGNT","34083","MAGNT_R34083",0.02,352.5,7.5,7.5,5.51,4.385,3.11,2.085,2.87,3.45,2.015,2.345,2.255,6.928,210,12,"yes",360
"R34088","Anilios","endoterus",-21.006,130.083,"pointy","m","MAGNT","34088","MAGNT_R34088",0.038,158,6,3.525,2.59,2.96,2.145,1.56,2.005,2.415,1.22,1.45,1.61,5.474,193,18,"yes",164
"R17582","Anilios","endoterus",-24,133.9,"pointy","f","MAGNT","17582","MAGNT_R17582",0.02,328,5.5,7.26,4.305,4.47,3.22,2.6,3.295,3.505,1.81,2.525,2.24,6.3,208,13,"yes",333.5
"R17586","Anilios","endoterus",-24,133.9,"pointy","f","MAGNT","17586","MAGNT_R17586",0.021,257.5,5.5,4.895,3.945,3.785,2.49,1.845,2.43,3.045,1.575,2.015,1.82,7.199,210,12,"yes",263
"R17589","Anilios","endoterus",-24,133.9,"pointy","m","MAGNT","17589","MAGNT_R17589",0.03,168,5.75,3.525,2.88,2.68,1.895,1.255,1.845,2.26,1.105,1.57,1.235,4.543,210,14,"yes",173.75
"R14333","Anilios","centralis",-24,133.433,"pointy","m","MAGNT","14333","MAGNT_R14333",0.024,273.5,6.5,4.35,4.355,3.515,2.515,1.795,2.49,3.23,1.69,2.175,2.095,5.271,212,17,"yes",280
"R34053","Anilios","centralis",-23.7,133.85,"pointy","f","MAGNT","34053","MAGNT_R34053",0.02,249.5,4.5,4.84,3.545,3.375,2.475,1.7,2.4,2.9,1.375,1.67,1.895,5.42,226,12,"yes",254
"R18360","Anilios","centralis",-23.517,133.267,"pointy","f","MAGNT","18360","MAGNT_R18360",0.014,291,4,6.01,3.995,3.43,2.21,1.695,2.455,2.755,1.385,1.825,1.935,5.286,245,14,"yes",295
"R34104","Anilios","centralis",-23.77,133.88,"pointy","m","MAGNT","34104","MAGNT_R34104",0.04,249.5,9.5,4.645,4.185,3.425,2.765,1.77,2.61,2.985,1.55,2.04,2.005,6.135,219,16,"yes",259
"R05544","Anilios","centralis",-23.7,133.867,"pointy","f","MAGNT","5544","MAGNT_R05544",0.017,323,5.5,5.48,4.175,3.72,2.61,1.86,2.78,3.38,1.605,1.825,2.105,6.044,237,11,"tail",328.5
"R34042","Anilios","centralis",-23.7,133.88,"pointy","m","MAGNT","34042","MAGNT_R34042",0.03,313.5,10.5,6.71,4.98,3.68,3.2,1.91,2.79,3.15,1.715,2.35,2.065,6.327,213,18,"yes",324
"R34041","Anilios","centralis",-23.7,133.883,"pointy","m","MAGNT","34041","MAGNT_R34041",0.032,285.5,9,5.93,4.58,3.705,2.89,2.06,2.63,2.915,1.62,2.155,1.92,5.691,214,16,"yes",294.5
"R34043","Anilios","centralis",-23.7,133.88,"pointy","f","MAGNT","34043","MAGNT_R34043",0.02,292,5.75,5.2,3.81,3.5,2.735,1.795,2.615,2.93,1.475,1.89,2.005,5.83,233,14,"yes",297.75
"R34044","Anilios","centralis",-23.7,133.883,"pointy","f","MAGNT","34044","MAGNT_R34044",0.024,330.5,8,6.805,4.415,3.405,2.67,1.695,2.645,3.135,1.535,1.825,2.015,6.396,236,14,"yes",338.5
"R34038","Anilios","centralis",-23.62,136.88,"pointy","f","MAGNT","34038","MAGNT_R34038",0.02,287.5,6,5.44,3.295,3.16,2.19,1.96,2.265,2.86,1.46,1.58,1.72,5.259,228,14,"yes",293.5
"R06741","Anilios","guentheri",-15.75,128.7,"pointy","f","MAGNT","6741","MAGNT_R06741",0.012,266,3.25,3.345,2.585,2.535,1.745,1.28,1.825,1.65,0.97,1.295,1.395,4.303,305,10,"yes",269.25
"R00915","Anilios","guentheri",-12.33,133.03,"pointy","m","MAGNT","915","MAGNT_R00915",0.02,259,5,3.035,2.485,2.28,1.745,1.25,1.73,1.63,0.89,1.36,1.325,4.306,271,9,"yes",264
"R24854","Anilios","sp",-15.376,130.106,"pointy","f","MAGNT","24854","MAGNT_R24854",0.018,248.5,4.5,4.01,3.14,2.445,2.045,1.325,1.775,1.76,1.155,1.06,1.47,5.169,259,9,"yes",253
"R02568","Anilios","guentheri",-13.82,131.83,"pointy","f","MAGNT","2568","MAGNT_R02568",0.02,192.5,3,3.455,2.585,2.35,1.685,1.24,1.795,1.86,0.8,0.935,1.285,4.254,231,10,"yes",195.5
"R34094","Anilios","grypusW",-25.35,131.033,"pointy","f","MAGNT","34094","MAGNT_R34094",0.022,358.5,7.75,4.26,2.935,2.44,1.88,1.41,1.865,2.455,1.405,1.36,1.57,4.381,,,"tail",366.25
"R34100","Anilios","grypusW",-20.75,130.28,"pointy","f","MAGNT","34100","MAGNT_R34100",0.02,319,7,3.505,2.705,2.315,1.68,1.185,1.585,2.225,1.18,1.16,1.35,4.47,317,16,"tail",326
"R17515","Anilios","grypusW",-25.25,131,"pointy","f","MAGNT","17515","MAGNT_R17515",0.018,388,7,4.19,3.045,2.54,1.79,1.34,1.765,2.52,1.3,1.03,1.545,4.558,320,18,"yes",395
"R14956","Anilios","grypusW",-20.87,130.27,"pointy","m","MAGNT","14956","MAGNT_R14956",0.04,318.25,13.25,4.035,2.72,2.275,1.565,1.04,1.71,2.18,1.15,1.14,1.32,4.483,314,26,"yes",331.5
"J93635","Anilios","affinis",-20.511,146.867,"pointy","m","QM","93635","QM_J93635",0.034,238,8,3.13,2.275,2.195,1.465,1.41,1.685,2.01,0.93,1.21,1.175,4.07,,,"tail",246
"J76269","Anilios","affinis",-19.75,147.8,"pointy","f","QM","76269","QM_J76269",0.01,238.5,3.5,3.52,2.63,2.385,1.76,1.375,1.985,2.205,1.18,1.46,1.415,4.58,,,"tail",242
"J44506","Anilios","affinis",-19.483,145.65,"pointy","m","QM","44506","QM_J44506",0.035,201,7,3.23,2.615,1.91,1.55,1.095,1.675,1.865,1.015,1.585,1.18,3.56,,,"yes",208
"J76610","Anilios","affinis",-25.02,147.93,"pointy","f","QM","76610","QM_J76610",0.02,256.5,5,3.7,2.685,2.45,1.94,1.405,2,2.385,1.2,1.59,1.37,5.07,,,"tail",261.5
"J76612","Anilios","affinis",-25.09,147.866,"pointy","f","QM","76612","QM_J76612",0.012,217.5,2.5,3.29,2.315,2.23,1.54,1.29,1.87,2.23,1.005,1.33,1.32,4.83,,,"tail",220
"J44501","Anilios","affinis",-20.77,146.17,"pointy","f","QM","44501","QM_J44501",0.02,240,4,4.185,2.655,2.175,1.865,1.405,1.84,2.015,0.91,1.49,1.225,4.68,,,"tail",244
"J44503","Anilios","affinis",-20.333,146.65,"pointy","m","QM","44503","QM_J44503",0.037,230.5,8.25,3.515,2.06,2.02,1.81,1.29,1.72,2.035,1.095,1.38,1.32,4.37,,,"yes",238.75
"J45432","Anilios","affinis",-24.33,151.57,"pointy","m","QM","45432","QM_J45432",0.04,189,7.75,3.405,2.43,2.115,1.54,1.32,1.695,2,0.975,1.22,1.245,4.6,,,"tail",196.75
"J64586","Anilios","affinis",-23.517,150.333,"pointy","f","QM","64586","QM_J64586",0.017,204,3.5,3.575,2.125,2.115,1.33,0.99,1.905,2,1.015,1.24,1.19,4.96,,,"yes",207.5
"J61022","Anilios","affinis",-26.55,142.2,"pointy","m","QM","61022","QM_J61022",0.04,221,8.5,2.955,2.46,1.99,1.595,1.38,1.62,1.92,1.1,1.165,1.245,4.45,,,"tail",229.5
"J44505","Anilios","affinis",-20.2,146.283,"pointy","f","QM","44505","QM_J44505",0.012,171,2,3.37,2.04,1.86,1.47,1.06,1.54,1.73,0.93,1.145,1.18,3.3,,,"tail",173
"J46706","Anilios","affinis",-22.82,145.37,"pointy","m","QM","46706","QM_J46706",0.04,200,8,3.455,2.61,2.045,1.475,1.24,1.675,2.03,1.14,1.2,1.205,4.5,,,"yes",208
"J64584","Anilios","affinis",-23.517,150.333,"pointy","f","QM","64584","QM_J64584",0.021,193.5,4,3.175,2.145,2.015,1.415,1.06,1.605,2.005,0.88,1.21,1.265,4.33,,,"tail",197.5
"J44499","Anilios","affinis",-19.63,145.78,"pointy","f","QM","44499","QM_J44499",0.02,200,3.5,2.92,1.99,2.085,1.65,1.215,1.535,1.54,0.975,1.215,1.12,4.1,,,"yes",203.5
"J72756","Anilios","affinis",-22.345,145.4,"pointy","m","QM","72756","QM_J72756",0.029,206,6,3.365,2.855,2.46,1.72,1.255,1.695,1.98,1.06,1.115,1.325,3.55,,,"tail",212
"J61812","Anilios","affinis",-19.42,146.95,"pointy","m","QM","61812","QM_J61812",0.03,215.5,7,3.02,2.39,2.325,1.46,1.225,1.41,1.85,0.94,0.965,1.165,4.31,,,"tail",222.5
"J36879","Anilios","affinis",-23.517,148.167,"pointy","m","QM","36879","QM_J36879",0.031,180,5.5,2.195,2.07,2.195,1.435,1.195,1.775,1.89,1.04,1.32,1.17,4.17,,,"tail",185.5
"J81301","Anilios","affinis",-20.7,147.7,"pointy","m","QM","81301","QM_J81301",0.04,196.5,7.5,3.235,2.355,1.965,1.29,1.07,1.56,1.765,0.955,1.145,1.155,3.47,,,"tail",204
"J23870","Anilios","affinis",-27.567,152.883,"pointy","f","QM","23870","QM_J23870",0.02,205,4,2.87,3.18,2.43,1.805,1.25,1.905,2.425,1.19,1.32,1.375,4.73,218,13,"tail",209
"J70008","Anilios","affinis",-27.7,152.86,"pointy","m","QM","70008","QM_J70008",0.05,167.5,8,2.67,2.465,2.175,1.85,1.14,1.91,1.97,1.125,1.265,1.215,4.74,,,"yes",175.5
"J91822","Anilios","aspina",-20.768,141.742,"no spine","m","QM","91822","QM_J91822",0.025,239.5,6,3.645,2.595,2.385,1.765,1.135,1.8,1.87,0.76,1.095,1.11,4.77,,,"tail",245.5
"J67159","Anilios","chamodracaena",-12.62,141.98,"pointy","f","QM","67159","QM_J67159",0.02,187.5,4.25,2.77,2.565,2.015,1.3,1.09,1.705,1.65,0.745,1.17,1.195,3.74,,,"tail",191.75
"J87535","Anilios","leucoproctus",-9.947,142.196,"pointy","f","QM","87535","QM_J87535",0.037,218,8,4.315,3.06,2.385,2.005,1.27,2.08,1.56,1.15,1.58,1.385,4.7,,,"yes",226
"J87198","Anilios","leucoproctus",-10.18,142.27,"pointy","f","QM","87198","QM_J87198",0.03,160.5,5,2.765,1.965,1.96,1.385,0.99,1.25,1.41,0.905,1.09,0.975,3.95,,,"yes",165.5
"J379","Anilios","leucoproctus",-9.583,143.767,"pointy","f","QM","379","QM_J379",0.028,177.5,5,2.765,2.065,2.58,1.41,1.29,2.025,1.495,0.75,1.335,1.195,4.03,,,"yes",182.5
"J87172","Anilios","leucoproctus",-10.68,142.18,"pointy","m","QM","87172","QM_J87172",0.04,142.5,6,2.555,2.39,1.905,1.265,1.075,1.465,1.325,0.65,1.025,0.845,3.5,,,"yes",148.5
"J87547","Anilios","leucoproctus",-10.167,142.133,"pointy","f","QM","87547","QM_J87547",0.034,145,5,3.405,2.495,2.545,1.275,0.995,1.77,1.11,0.835,1.165,1.23,3.92,,,"yes",150
"J2953","Anilios","broomi",-17.32,145.22,"pointy","m","QM","2953","QM_J2953",0.02,186,4.5,2.95,2.295,2.185,1.3,1.115,1.76,1.65,0.935,1.225,1.115,3.92,,,"tail",190.5
"J87805","Anilios","broomi",-15.765,145.231,"pointy","m","QM","87805","QM_J87805",0.033,123,4,2.765,2.2,1.835,1.44,0.965,1.64,1.525,0.9,1.245,1.115,4.25,,,"tail",127
"J88156","Anilios","broomi",-19.26,143.7,"pointy","m","QM","88156","QM_J88156",0.03,159.5,4.75,2.755,2.07,2.03,1.41,1.165,1.645,1.445,0.885,1.31,1.065,3.59,,,"tail",164.25
"J2954","Anilios","broomi",-17.317,145.217,"pointy","f","QM","2954","QM_J2954",0.016,188,3,3.975,2.13,2.07,1.495,1.135,1.61,1.73,0.815,1.335,1.145,4.73,,,"yes",191
"J47503","Anilios","broomi",-17.32,145.22,"pointy","m","QM","47503","QM_J47503",0.03,114.5,3,2.5,2.14,1.8,1.57,1.03,1.385,1.425,0.85,1.395,1.02,3.71,,,"tail",117.5
"J85788","Anilios","broomi",-19.998,148.234,"pointy","f","QM","85788","QM_J85788",0.019,209.5,4,3.64,2.57,2.155,1.57,1.21,1.78,1.875,0.79,1.32,1.225,4.39,,,"tail",213.5
"J90500","Anilios","broomi",-17.14,144.52,"pointy","m","QM","90500","QM_J90500",0.03,137,4,2.685,2.39,2.015,1.43,1.11,1.6,1.3,0.85,1.16,0.98,3.97,,,"tail",141
"J67603","Anilios","broomi",-19.442,145.675,"pointy","m","QM","67603","QM_J67603",0.024,210,5,3.835,2.715,2.38,1.845,1.17,2.11,1.76,1.045,1.235,1.35,4.39,,,"yes",215
"J90499","Anilios","broomi",-17.14,144.52,"pointy","m","QM","90499","QM_J90499",0.03,190.5,5,2.835,1.865,2.165,1.275,1.12,1.77,1.635,0.985,1.1,1.085,4.5,,,"yes",195.5
"J20315","Anilios","broomi",-16.683,145.333,"pointy","m","QM","20315","QM_J20315",0.026,189,5,3.76,2.3,1.905,1.515,1.245,1.75,1.725,0.895,1.415,1.225,4.38,,,"yes",194
"J47254","Anilios","broomi",-15.47,145.25,"pointy","f","QM","47254","QM_J47254",0.02,148.5,3,2.63,1.78,2.02,1.22,0.875,1.525,1.4,0.69,1.03,0.955,3.89,,,"tail",151.5
"J46849","Anilios","broomi",-15.467,145.25,"pointy","m","QM","46849","QM_J46849",0.034,118.5,4,1.985,1.71,1.64,1.24,0.97,1.495,1.34,0.6,0.945,0.935,4.54,,,"yes",122.5
"J39843","Anilios","torresianus",-12.5,141.67,"pointy","f","QM","39843","QM_J39843",0.03,327,9,9.57,5.625,5.045,3.62,2.45,3.82,3.145,1.8,2.77,2.57,9.21,191,15,"yes",336
"J30838","Anilios","torresianus",-17.433,145.483,"pointy","m","QM","30838","QM_J30838",0.053,418,22,9.405,7.23,7.42,4.685,3.245,5.425,4.685,2.605,4.47,3.5,8.87,182,20,"yes",440
"J5700","Anilios","torresianus",-16.75,145.62,"pointy","m","QM","5700","QM_J5700",0.06,372,23,8.315,7.22,6.465,4.495,3.16,4.985,4.62,2.17,3.86,3.025,9.55,193,22,"yes",395
"J10885","Anilios","torresianus",-17.267,145.483,"pointy","m","QM","10885","QM_J10885",0.026,190.5,5,5.17,3.97,3.91,2.655,2.16,2.825,2.655,1.47,2,1.815,6.57,,,"yes",195.5
"J25566","Anilios","torresianus",-17.08,145.58,"pointy","f","QM","25566","QM_J25566",0.03,143.5,4.5,4.055,3.14,3.425,2.215,1.595,2.725,2.47,1.29,1.795,1.625,6.44,,,"yes",148
"J48213","Anilios","torresianus",-17.824,145.785,"pointy","m","QM","48213","QM_J48213",0.054,314,17,7.735,5.5,5.085,3.335,2.535,3.575,3.36,1.81,2.44,2.64,9.07,,,"yes",331
"J48248","Anilios","torresianus",-17.79,145.78,"pointy","f","QM","48248","QM_J48248",0.03,250.5,7,6.025,4.18,4.35,2.77,2.13,3.155,2.86,1.495,2.405,1.985,7.37,,,"yes",257.5
"J47248","Anilios","torresianus",-16.917,145.767,"pointy","f","QM","47248","QM_J47248",0.059,342.5,20,7.29,6.74,5.405,3.995,2.895,3.945,3.73,2.05,3.085,2.82,9.28,,,"yes",362.5
"J50852","Anilios","torresianus",-21.17,148.5,"pointy","f","QM","50852","QM_J50852",0.03,336,10.5,7.635,5.365,5.52,3.98,2.665,3.965,3.665,2.045,3.82,2.795,9.2,,,"yes",346.5
"J54031","Anilios","torresianus",-11.75,142.583,"pointy","m","QM","54031","QM_J54031",0.052,287.5,15,7.515,5.185,4.885,3.04,2.52,3.635,3.145,1.75,2.615,2.165,7.43,,,"yes",302.5
"J54041","Anilios","torresianus",-11.65,142.62,"pointy","f","QM","54041","QM_J54041",0.03,340.5,10,9.165,5.435,6.045,3.68,2.99,4.18,4.105,1.96,2.94,2.685,9.19,,,"yes",350.5
"J80559","Anilios","torresianus",-17.609,145.56,"pointy",,"QM","80559","QM_J80559",0.03,640,19,15.41,9.16,8.33,5.62,4.1,6.15,5.53,2.47,,4.07,13.66,205,17,,659
"J79900","Anilios","torresianus",-19.63,147.05,"pointy","m","QM","79900","QM_J79900",0.06,329.5,19.5,8.87,6.725,6.17,4.865,3.08,4.425,3.69,2.23,4.11,3.17,9.64,187,22,"yes",349
"J79868","Anilios","torresianus",-19.265,146.818,"pointy","m","QM","79868","QM_J79868",0.056,321.5,18,7.865,5.54,5.585,3.735,3.01,3.76,3.885,2.07,2.555,2.775,9.16,186,22,"yes",339.5
"J79947","Anilios","torresianus",-22.32,148.51,"pointy","f","QM","79947","QM_J79947",0.03,395.5,13,9.715,5.915,6.395,4.31,3.225,4.505,4.27,2.395,3.375,3.1,10.46,206,17,"yes",408.5
"J80562","Anilios","torresianus",-17.582,145.301,"pointy","f","QM","80562","QM_J80562",0.024,488.5,12,11.475,7.62,7.91,4.435,3.63,5.545,4.83,2.6,3.09,3.695,12.56,205,13,"yes",500.5
"J60625","Anilios","torresianus",-15.27,145.33,"pointy","f","QM","60625","QM_J60625",0.05,386,19,8.755,6.625,6.415,4.255,3.195,4.665,3.92,2.125,3.62,3.03,10.34,190,22,"yes",405
"J81278","Anilios","torresianus",-17.206,145.681,"pointy","f","QM","81278","QM_J81278",0.03,474,14,11.605,8.85,7.785,5.415,3.91,5.45,5.285,2.885,3.435,3.77,12.68,199,16,"yes",488
"J85794","Anilios","torresianus",-17.7,145.53,"pointy","f","QM","85794","QM_J85794",0.03,543.5,16,14.88,8.74,8.955,6.455,4.365,5.865,4.195,3.035,,4.125,12.77,195,15,"yes",559.5
"J87053","Anilios","torresianus",-15.793,145.233,"pointy","m","QM","87053","QM_J87053",0.057,350,19.5,8.16,6.43,5.48,3.395,2.78,4.135,3.315,1.985,2.57,2.61,9.35,192,20,"yes",369.5
"J60852","Anilios","silvia",-25.47,153.05,"pointy",,"QM","60852","QM_J60852",0.05,147,7,2.86,3.05,2.385,1.735,1.355,1.82,1.76,0.855,1.56,1.125,4.1,,,,154
"J77029","Anilios","silvia",-26.313,152.969,"pointy",,"QM","77029","QM_J77029",0.027,148,4,3.525,2.255,2.405,1.66,1.325,1.925,1.85,0.8,1.115,1.31,4.6,,,,152
"J85945","Anilios","silvia",-25.88,153.07,"pointy","f","QM","85945","QM_J85945",0.02,174,4.25,3.495,2.405,2.52,1.765,1.32,2.045,2.12,0.905,1.44,1.405,4.69,,,"yes",178.25
"J76833","Anilios","silvia",-26.424,153.026,"pointy",,"QM","76833","QM_J76833",0.029,104,3,2.63,1.895,2.01,1.47,0.905,1.52,1.31,0.815,0.895,0.975,4.12,,,,107
"J82203","Anilios","silvia",-26.59,152.98,"pointy",,"QM","82203","QM_J82203",0.02,169.5,4,3.9,2.82,3.065,2.03,1.51,2.33,1.825,1,1.55,1.545,4.85,,,,173.5
"J27386","Anilios","silvia",-25.967,153.117,"pointy","m","QM","27386","QM_J27386",0.043,141,6,3.855,3.335,2.625,2.11,1.31,1.945,1.905,0.945,1.245,1.375,4.28,,,"yes",147
"J23620","Anilios","silvia",-25.97,153.1,"pointy",,"QM","23620","QM_J23620",0.03,138,4,2.975,2.34,2.485,1.84,1.43,1.85,1.8,0.845,1.345,1.395,4.42,,,,142
"J35872","Anilios","silvia",-25.683,152.883,"pointy",,"QM","35872","QM_J35872",0.025,157,4,2.575,1.705,2.36,1.51,1.34,1.69,1.62,0.755,0.93,1.21,4.23,,,,161
"J31577","Anilios","silvia",-25.18,153.27,"pointy",,"QM","31577","QM_J31577",0.03,144.5,4.5,2.775,2.28,2.49,1.68,1.43,1.735,1.695,0.82,1.1,1.275,3.6,,,,149
"J46128","Anilios","silvia",-26.167,152.917,"pointy",,"QM","46128","QM_J46128",0.053,131,7,2.66,2.59,2.405,1.795,1.315,1.655,1.64,0.805,0.975,1.47,3.74,,,,138
"J31576","Anilios","silvia",-25.18,153.27,"pointy",,"QM","31576","QM_J31576",0.03,145,4,2.98,2.4,2.42,1.765,1.195,1.82,1.705,0.86,1.15,1.325,4.29,,,,149
"J8521","Anilios","silvia",-26.633,152.967,"pointy",,"QM","8521","QM_J8521",0.05,169.5,8.5,3.55,3.27,2.93,2.215,1.215,2.32,1.865,1.125,1.64,1.725,4.88,,,,178
