"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R.58961","Anilios","leucoproctus",-10.12,142.12,"pointy","f","AM","58961","AM_R.58961",0.03,105.5,3,2.175,1.53,1.6,1.28,0.85,1.295,1.065,0.74,0.69,0.985,3.353,206,11,,108.5
"R.128848","Anilios","broomi",-17.73,145.27,"pointy","f","AM","128848","AM_R.128848",0.02,186,3,2.985,2.145,2.28,1.82,1.18,1.7,1.59,1.04,1.335,1.23,4.448,234,12,"yes",189
"R.12889","Anilios","yirrikalae",-14.47,132.27,"pointy",,"AM","12889","AM_R.12889",0.01,133.5,2,2.77,1.545,2.505,1.8,1.62,1.645,2.265,1.255,1.105,1.43,5.786,,,,135.5
"R.48541","Anilios","leucoproctus",-9.42,142.53,"pointy","m","AM","48541","AM_R.48541",0.03,148,5,3.53,2.27,2.845,,,,,,,,,,,"tail",153
"R.4537","Anilios","leucoproctus",-10.75,142.58,"pointy","m","AM","4537","AM_R.4537",0.03,145,5,2.515,2.225,2.035,1.505,1.015,1.655,1.445,0.805,0.955,1.07,4.197,194,14,"tail",150
"R.2202","Acutotyphlops","subocularis",-4.166,152.466,,,"AM","2202","AM_R.2202",,342.7,17.3,12.1,11.5,9,6.5,4.45,6.9,5.75,1.95,6.7,3.48,,,,,360
"R.42756","Anilios","batillus",-35.132,147.434,,"f","AM","42756","AM_R.42756",,313,7,6,5,4.6,3.72,2.285,2.6,3.35,1.78,3.4,2.5,,,,"yes",320
"R45005","Anilios","grypusET",-26.08,140.9,"round to point","f","SAM","45005","SAM_R45005",0.01,305,4,3.5,2.05,2.68,1.93,1.64,2.36,3.02,1.14,1.39,1.53,5.176,268,13,"yes",309
"R47762","Ramphotyphlops","acuticauda",7.367,134.55,"taper to a point, pointy spur","f","SAM","47762","SAM_R47762",0.03,231,7,4.01,2.42,3.2,2.21,2.17,2.71,2.41,1.38,2.09,1.47,6.193,195,12,"yes",238
"R48029","Ramphotyphlops","acuticauda",7.62,134.64,"taper to a point, pointy spur","m","SAM","48029","SAM_R48029",0.04,208,8,3.97,2.38,2.91,2.08,1.58,2.26,1.83,1.24,1.54,1.38,6.006,187,16,"yes",216
"R3565","Anilios","affinis",-19.6,146.83,"round to point, no spur","f","SAM","3565","SAM_R3565",0.014,222,3,2.68,2.03,2.37,1.77,1.61,2.03,2.04,1.07,1.18,1.37,4.195,238,9,"yes",225
"R55645","Anilios","affinis",-23.63,149.2,"round to point, no spur","m","SAM","55645","SAM_R55645",0.03,110,3,2.02,1.56,1.79,1.53,1.18,1.57,1.48,0.69,0.58,0.92,3.15,221,12,"tail",113
"R926A","Anilios","australis",-32.12,115.83,"round to point","f","SAM","926A","SAM_R926A",0.03,230,7,5.06,3.32,4.13,2.89,2.44,3.07,3.87,1.75,2.38,1.99,7.434,157,14,"yes",237
"R22906","Anilios","australis",-33.72,121.37,"round to point","j","SAM","22906","SAM_R22906",0.03,143,4,3.04,2.56,2.65,2.02,1.25,2.37,1.91,1.19,1.31,1.57,4.933,164,8,,147
"R26901","Anilios","australis",-31.75,115.78,"round to point","m","SAM","26901","SAM_R26901",0.044,225,10,4.06,3.02,3.52,2.88,1.93,2.74,3.03,1.57,1.82,2.01,6.676,145,16,"yes",235
"R926B","Anilios","australis",-32.12,115.83,"round to point","m","SAM","926B","SAM_R926B",0.04,182,8,4.1,3.94,3.47,2.69,2.16,2.45,3.11,1.55,1.96,1.81,6.482,150,15,"yes",190
"R860","Anilios","bicolor",-34.93,138.68,"sharp pointy","f","SAM","860","SAM_R860",0.028,289,8,11.41,7.06,7.17,5.33,3.66,5.47,5.75,2.59,4.43,3.49,8.649,156,12,"yes",297
"R1796","Anilios","bicolor",-36.37,140.7,"sharp pointy","f","SAM","1796","SAM_R1796",0.03,390,13,15.16,5.04,9.75,6.72,4.97,8.57,8.02,5.88,4.1,5.11,,,,"yes",403
"R3720","Anilios","bicolor",-34.43,135.93,"sharp pointy","f","SAM","3720","SAM_R3720",0.025,395,10,12.85,7.51,7.92,6.16,4.44,6.54,7.48,3.23,4.51,4.1,12.653,170,12,"yes",405
"R6200","Anilios","bicolor",-34.67,138.88,"sharp pointy","f","SAM","6200","SAM_R6200",0.03,353,12,8.36,6.61,7.92,5.75,4.2,6.66,6.25,3.37,3.8,4.5,,,,"yes",365
"R43160","Anilios","bicolor",-34.57,139.6,"sharp pointy","f","SAM","43160","SAM_R43160",0.027,334,9,11.55,7.76,6.53,4.65,3.68,5.21,5.23,2.66,2.68,3.32,10.193,162,13,"yes",343
"R55342","Anilios","bicolor",-33.72,139.98,"sharp pointy","f","SAM","55342","SAM_R55342",0.03,255,8,5.62,4.05,5.04,3.66,2.72,4.08,4.43,2.08,2.33,2.54,8.689,167,13,"yes",263
"R63435","Anilios","bicolor",-31.481,131.496,"sharp pointy","f","SAM","63435","SAM_R63435",0.027,226,6,7.19,4.53,5.17,3.58,2.76,3.92,4.77,2.38,2.41,2.85,8.634,166,13,"yes",232
"R63472","Anilios","bicolor",-30.17,139.33,"sharp pointy","f","SAM","63472","SAM_R63472",0.03,312,10,5.19,4.75,6.03,4.34,3.41,5.17,5.57,2.91,2.83,3.54,10.436,173,13,"yes",322
"R71415","Anilios","bicolor",-33.206,136.193,"sharp pointy","f","SAM","71415","SAM_R71415",0.022,322,7,8.19,5.09,6.07,4.66,3.52,4.51,5.4,2.49,3.88,3.14,9.695,172,12,"yes",329
"R2750","Anilios","bicolor",-35.02,138.6,"sharp pointy","m","SAM","2750","SAM_R2750",0.04,339,13,9,5.78,5.97,4.51,3.06,4.82,5.05,2.28,3.57,3.36,9.506,145,18,"yes",352
"R5832","Anilios","bicolor",-35.03,138.6,"sharp pointy","m","SAM","5832","SAM_R5832",0.041,290,12,8.62,5.96,6.26,4.82,3.22,4.87,5.52,2.82,3.56,3.48,9.614,152,15,"yes",302
"R16182","Anilios","bicolor",-35.58,140.52,"sharp pointy","m","SAM","16182","SAM_R16182",0.06,201,11,6.19,5.12,5.1,3.8,3.11,3.91,4.25,2.18,2.75,2.79,8.411,150,16,"yes",212
"R12796","Anilios","bituberculatus",-34.37,136.13,"round to point, no spur","f","SAM","12796","SAM_R12796",0.017,345,6,8.66,4.59,4.49,2.76,1.8,3.07,3.76,2.19,2.11,2.22,,,,"yes",351
"R20806","Anilios","bituberculatus",-32.85,135.95,"round to point, no spur","f","SAM","20806","SAM_R20806",0.03,242,6,3.72,2.75,3.18,2.34,1.63,2.49,2.78,1.58,1.51,1.55,5.171,211,13,"yes",248
"R28597","Anilios","bituberculatus",-32.48,135.37,"round to point, no spur","f","SAM","28597","SAM_R28597",0.019,264,5,4.03,2.9,3.08,2.08,1.69,2.69,3.16,1.68,1.41,1.73,5.537,220,13,"yes",269
"R40019","Anilios","bituberculatus",-27.18,140.15,"round to point, no spur","f","SAM","40019","SAM_R40019",0.01,364,5,5.06,3.43,3.56,2.72,1.84,2.85,3.78,2.09,1.66,2.01,6.691,269,14,"yes",369
"R44731","Anilios","bituberculatus",-27.556,134.425,"round to point, no spur","f","SAM","44731","SAM_R44731",0.015,261,4,3.79,2.4,2.87,2.03,1.75,2.47,3.06,1.5,1.36,1.41,5.345,239,14,"yes",265
"R44841","Anilios","bituberculatus",-26.25,131.79,"round to point, no spur","f","SAM","44841","SAM_R44841",0.02,256,4,2.98,2.25,2.79,2.19,1.54,2.55,2.37,1.64,1.32,1.4,5.081,250,12,"yes",260
